Size,2D_DP_Time(ms),1D_DP_Time(ms),2D_DP_Result,1D_DP_Result
50,0.264,0.039,1571,1571
60,0.138,0.059,1873,1873
70,0.261,0.075,2196,2196
80,0.375,0.101,2341,2341
90,0.378,0.121,3030,3030
100,0.405,0.13,3159,3159
110,0.625,0.22,3618,3618
120,0.808,0.21,3954,3954
130,0.926,0.231,3721,3721
140,1.177,0.31,4118,4118
150,1.249,0.304,4655,4655
160,1.313,0.343,5011,5011
170,1.636,0.397,5085,5085
180,1.78,0.488,5728,5728
190,2.258,0.54,5623,5623
200,2.816,0.597,6014,6014
210,2.589,0.636,6871,6871
220,3.029,0.717,6535,6535
230,3.198,0.756,7175,7175
240,3.329,0.823,7359,7359
250,3.957,0.962,7842,7842
260,4.075,0.985,8799,8799
270,4.5,1.095,7948,7948
280,4.838,1.185,8254,8254
290,5.092,1.313,8862,8862
300,5.637,1.315,8753,8753
310,6.232,1.437,9631,9631
320,6.318,1.552,9895,9895
330,6.897,1.548,10067,10067
340,6.69,1.585,9945,9945
350,7.553,1.819,11087,11087
360,8.231,1.894,11054,11054
370,8.12,1.901,11540,11540
380,9.035,2.12,11682,11682
390,8.993,2.022,12492,12492
400,9.504,2.271,12222,12222
410,11.142,2.468,12761,12761
420,10.483,2.42,13436,13436
430,11.233,2.562,13340,13340
440,12.066,2.684,14238,14238
450,12.527,2.889,14260,14260
460,12.673,2.974,14337,14337
470,13.443,3.086,15107,15107
480,14.049,3.236,15346,15346
490,15.333,3.467,16104,16104
500,15.626,3.565,16145,16145
510,15.448,3.573,16180,16180
520,16.445,3.944,16611,16611
530,16.757,3.883,17458,17458
540,17.74,4.072,17372,17372
550,18.868,4.313,18061,18061
560,19.544,4.495,17639,17639
570,20.006,4.65,18396,18396
580,21.01,4.901,17781,17781
590,20.358,4.783,18830,18830
600,22.197,5.176,18798,18798
610,22.066,5.133,18544,18544
620,23.58,5.531,19867,19867
630,24.028,5.397,20222,20222
640,25.681,6.017,19579,19579
650,26.448,6.185,20375,20375
660,27.866,6.624,20387,20387
670,29.46,6.785,20967,20967
680,29.638,6.577,20771,20771
690,29.78,6.597,22197,22197
700,30.302,7.03,21257,21257
710,31.716,7.117,22066,22066
720,32.864,7.388,23138,23138
730,33.613,7.553,23620,23620
740,36.351,8.101,22579,22579
750,35.853,8.145,23375,23375
760,36.722,8.256,24235,24235
770,36.701,8.381,23917,23917
780,36.915,8.291,24204,24204
790,39.533,8.744,24784,24784
800,41.092,9.234,25070,25070
810,39.989,9.021,25913,25913
820,42.177,9.469,25510,25510
830,43.262,9.667,27238,27238
840,45.316,10.175,26029,26029
850,45.364,10.055,26627,26627
860,44.543,9.959,27432,27432
870,46.584,10.422,27669,27669
880,48.986,11.014,29230,29230
890,48.91,10.987,28262,28262
900,51.242,11.376,28324,28324
910,55.85,12.617,28682,28682
920,55.889,12.652,27752,27752
930,57.884,12.878,29890,29890
940,57.678,12.773,30069,30069
950,59.694,13.643,31108,31108
960,59.117,13.177,30065,30065
970,58.076,13.041,31370,31370
980,62.535,14.141,30160,30160
990,61.491,14.355,32331,32331
1000,60.491,13.912,31989,31989
1010,65.029,14.772,32027,32027
1020,62.795,14.414,32495,32495
1030,64.565,14.806,32395,32395
1040,66.924,15.443,34089,34089
